total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon
1590.909091,3,12.837,57.85,1,0,0,10,2,2,532,0,320,13,3.657272727,0,675.0,787.5,9,1,1.0,2036.538462,13.5,1,0,4,0,3.0,0.0,2.0,14.0,8.0,0,852,170.4
19636.36364,5,11.061,483.66,2,1,1,8,1,0,547,0,164,20,24.89090909,0,593.1818182,741.4772727,12,0,0.0,10992.92308,41.8,1,0,9,0,6.0,0.0,42.0,11.0,6.0,0,0,0.0
14625.0,3,16.742,430.32,2,0,1,10,0,2,524,0,29,19,18.45818182,0,556.3636364,649.0909091,8,1,1.0,3703.384615,81.23076923,1,0,8,70,4.0,0.0,6.0,8.0,6.0,0,0,0.0
18327.27273,3,13.189,557.93,2,2,2,10,2,0,554,0,2,2,29.15,0,763.6363636,890.9090909,26,0,0.0,19130.0,21.21538462,1,0,12,0,16.0,0.0,10.0,35.0,15.0,3,990,99.0
7000.0,3,5.32,210.81,0,3,3,3,0,0,544,0,230,2,6.31,0,780.0,975.0,12,0,0.0,10250.15385,15.11538462,0,0,1,0,5.0,0.0,4.0,16.0,9.0,3,2532,253.2
3681.818182,3,8.24,141.52,1,3,4,7,0,2,564,4,476,5,22.88181818,0,645.4545455,699.2424242,6,0,0.0,6615.692308,75.4,0,0,3,4,4.0,0.0,4.0,6.0,1.0,3,1207,362.1
16363.63636,5,26.06,599.53,6,1,0,4,0,1,540,0,77,7,10.73454545,0,556.3636364,649.0909091,16,0,0.0,9213.0,47.49230769,1,0,11,0,12.0,0.0,21.0,17.0,6.0,0,0,0.0
15363.63636,3,16.841,452.63,2,0,5,1,1,1,556,0,404,22,7.227272727,0,540.0,675.0,16,0,0.0,9247.384615,42.46153846,1,0,9,0,5.0,0.0,30.0,16.0,4.0,1,4221,422.1
10909.09091,3,10.989,387.15,1,1,0,0,0,1,550,4,51,13,8.738181818,3,600.0,700.0,14,0,0.0,14008.61538,10.38461538,0,0,7,4,4.0,0.0,9.0,33.0,32.0,2,5181,0.0
28636.36364,3,21.49,1327.45,3,3,6,10,1,1,563,4,277,8,999.0,0,622.7272727,778.4090909,7,0,0.0,12700.15385,69.03076923,1,1,12,4,3.0,0.0,3.0,5.0,3.0,0,0,0.0
13636.36364,3,13.67,510.27,1,1,7,8,0,0,525,0,23,9,5.1,0,609.0909091,761.3636364,7,0,0.0,11450.92308,58.69230769,1,0,6,193,3.0,0.0,8.0,14.0,8.0,3,2375,237.5
7909.090909,3,13.33,245.44,2,3,8,10,1,2,546,0,233,19,25.69090909,0,763.6363636,954.5454545,8,0,0.0,3835.384615,46.15384615,1,0,12,0,6.0,0.0,7.0,6.0,2.0,1,3411,341.1
19636.36364,3,7.49,746.44,0,2,2,4,0,1,540,4,64,14,9.84,0,625.9090909,782.3863636,3,0,0.0,0.0,0.0,0,0,8,4,0.0,0.0,1.0,5.0,5.0,0,0,0.0
