PassengerId,Predicted_Age
6,34.5
18,32.5
20,35.5
27,26.5
29,21.5
30,28.5
32,45.5
33,25.5
37,26.5
43,27.5
46,25.5
47,37.5
48,25.5
49,21.5
56,45.5
65,42.5
66,4.5
77,28.5
78,28.5
83,19.5
88,26.5
96,28.5
102,28.5
108,28.5
110,21.5
122,21.5
127,37.5
129,1.5
141,27.5
155,29.5
159,26.5
160,15.5
167,45.5
169,42.5
177,5.5
181,18.5
182,27.5
186,44.5
187,35.5
197,37.5
199,25.5
202,24.5
215,32.5
224,28.5
230,6.5
236,32.5
241,16.5
242,25.5
251,29.5
257,51.5
261,37.5
265,25.5
271,43.5
275,25.5
278,32.5
285,49.5
296,42.5
299,46.5
301,25.5
302,30.5
304,32.5
305,31.5
307,31.5
325,24.5
331,20.5
335,39.5
336,28.5
348,28.5
352,46.5
355,26.5
359,21.5
360,21.5
365,37.5
368,31.5
369,25.5
376,34.5
385,28.5
389,28.5
410,6.5
411,28.5
412,31.5
414,32.5
416,35.5
421,27.5
426,23.5
429,37.5
432,28.5
445,26.5
452,27.5
455,31.5
458,40.5
460,37.5
465,28.5
467,32.5
469,28.5
471,29.5
476,43.5
482,32.5
486,6.5
491,27.5
496,29.5
498,35.5
503,22.5
508,45.5
512,26.5
518,36.5
523,26.5
525,26.5
528,44.5
532,26.5
534,27.5
539,34.5
548,27.5
553,31.5
558,34.5
561,37.5
564,26.5
565,22.5
569,26.5
574,25.5
579,25.5
585,24.5
590,31.5
594,22.5
597,24.5
599,26.5
602,28.5
603,39.5
612,28.5
613,25.5
614,37.5
630,28.5
634,40.5
640,28.5
644,27.5
649,25.5
651,28.5
654,21.5
657,28.5
668,28.5
670,43.5
675,32.5
681,20.5
693,27.5
698,21.5
710,4.5
712,45.5
719,40.5
728,21.5
733,32.5
739,28.5
740,28.5
741,43.5
761,34.5
767,40.5
769,33.5
774,26.5
777,32.5
779,28.5
784,23.5
791,37.5
793,18.5
794,43.5
816,42.5
826,31.5
827,27.5
829,37.5
833,26.5
838,28.5
840,36.5
847,24.5
850,32.5
860,26.5
864,18.5
869,27.5
879,28.5
889,13.5
902,28.5
914,50.5
921,21.5
925,31.5
928,24.5
931,27.5
933,44.5
939,37.5
946,32.5
950,28.5
957,31.5
968,28.5
975,28.5
976,43.5
977,26.5
980,33.5
983,28.5
985,28.5
994,37.5
999,37.5
1000,26.5
1003,22.5
1008,35.5
1013,32.5
1016,37.5
1019,20.5
1024,38.5
1025,28.5
1038,45.5
1040,45.5
1043,27.5
1052,21.5
1055,34.5
1060,47.5
1062,25.5
1065,26.5
1075,37.5
1080,18.5
1083,45.5
1091,33.5
1092,27.5
1097,31.5
1103,28.5
1108,21.5
1111,28.5
1117,27.5
1119,25.5
1125,31.5
1135,27.5
1136,4.5
1141,24.5
1147,34.5
1148,36.5
1157,28.5
1158,40.5
1159,34.5
1160,24.5
1163,37.5
1165,25.5
1166,26.5
1174,25.5
1178,29.5
1180,24.5
1181,31.5
1182,41.5
1184,26.5
1189,21.5
1193,31.5
1196,25.5
1204,30.5
1224,26.5
1231,14.5
1234,43.5
1236,13.5
1249,27.5
1250,37.5
1257,47.5
1258,26.5
1272,37.5
1274,37.5
1276,31.5
1300,21.5
1302,25.5
1305,31.5
1308,28.5
1309,3.5
